Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,part_of_day
1900-01-01 15:15:00,Sunday,18-30,Male,Primary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,2,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 17:45:00,Tuesday,18-30,Male,Primary education,Employee,Above 10yr,Non-Motorized,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Pedestrian,Male,Under 18,3,Student,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Human Error,Sore
1900-01-01 16:00:00,Tuesday,Over 51,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Unknown,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Pedestrian,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 17:45:00,Wednesday,31-50,Male,Primary education,Employee,1-2yr,Large Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,2,1,Junction movement,Pedestrian,Female,Over 51,2,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 08:45:00,Tuesday,18-30,Male,Secondary education,Employee,Above 10yr,Small Truck,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Curved Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Pedestrian,Female,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 00:10:00,Sunday,18-30,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,2,Turnover,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 19:45:00,Friday,18-30,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Crossing,Gravel roads,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,4,Moving forward,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 19:00:00,Thursday,18-30,Male,Secondary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Public service areas,Two-way (divided with solid lines road marking),Flat Road,No junction,Asphalt,Dry,Poor lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 08:00:00,Friday,18-30,Male,Low education,Employee,5-10yr,Large Truck,Owner,Old Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 22:50:00,Tuesday,18-30,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Pedestrian,Male,Over 51,2,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 16:40:00,Friday,Over 51,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,na,Employee,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 13:57:00,Saturday,Over 51,Male,Secondary education,Employee,Below 1yr,Car,Owner,New Vehicle,Residential areas,Undivided Two way,Curved Road,O Shape,Asphalt,Dry,Good lighting,Clear,Collision with animals,2,1,Moving forward,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 08:05:00,Monday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Old Vehicle,Recreational areas,Two-way (divided with broken lines road marking),Hilly Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 12:14:00,Saturday,31-50,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,3,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 13:40:00,Sunday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,3,2,Moving forward,Driver or rider,Male,18-30,na,Unknown,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 21:20:00,Saturday,Under 18,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Public service areas,One way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,2,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Violation,Malam
1900-01-01 16:49:00,Thursday,18-30,Male,Primary education,Owner,5-10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 11:10:00,Tuesday,18-30,Male,Secondary education,Employee,Above 10yr,Large Bus,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,External Factors,Siang
1900-01-01 19:28:00,Wednesday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Old Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Stopping,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 14:57:00,Friday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Old Vehicle,Public service areas,other,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Blind,Not a Pedestrian,Human Error,Siang
1900-01-01 19:00:00,Wednesday,31-50,Male,Secondary education,Owner,5-10yr,Car,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Other,Pedestrian,Female,18-30,3,Other,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 09:30:00,Tuesday,31-50,Male,Primary education,Employee,Below 1yr,Medium Bus,Owner,Moderate Vehicle,Commercial areas,other,Hilly Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 16:31:00,Thursday,18-30,Male,Primary education,Employee,Below 1yr,Large Truck,Governmental,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,4,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 17:30:00,Thursday,31-50,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 15:20:00,Friday,18-30,Female,Primary education,Owner,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 15:36:00,Tuesday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 11:58:00,Saturday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Public service areas,other,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving backward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 12:40:00,Friday,Over 51,Male,Secondary education,Owner,1-2yr,Medium Truck,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 17:25:00,Friday,31-50,Male,Primary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Public service areas,Double carriageway (median),Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Clear,Collision with pedestrians,1,1,Other,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,External Factors,Sore
1900-01-01 08:00:00,Sunday,18-30,Male,Secondary education,Employee,1-2yr,Small Bus,Owner,Moderate Vehicle,Public service areas,Double carriageway (median),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Junction movement,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 10:49:00,Wednesday,18-30,Male,Secondary education,Employee,2-5yr,Car,Governmental,Old Vehicle,Other,Double carriageway (median),Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 18:23:00,Wednesday,Over 51,Male,Primary education,Owner,5-10yr,Car,Governmental,Moderate Vehicle,Residential areas,Double carriageway (median),Flat Road,Y Shape,Gravel roads,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Moving forward,Pedestrian,Male,Under 18,3,Driver,Normal,Unknown or other,Human Error,Sore
1900-01-01 07:30:00,Tuesday,18-30,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,2,1,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 08:42:00,Thursday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Rollover,2,2,Moving forward,Driver or rider,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,External Factors,Pagi
1900-01-01 20:12:00,Friday,18-30,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Old Vehicle,Commercial areas,other,Flat Road,O Shape,Asphalt,Dry,Moderate lighting,Clear,Collision with roadside objects,1,1,Moving forward,Pedestrian,Female,Over 51,3,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Human Error,Malam
1900-01-01 19:40:00,Monday,31-50,Male,Secondary education,Employee,2-5yr,Car,Owner,Old Vehicle,Commercial areas,other,Steep Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Collision with pedestrians,2,2,Moving forward,Pedestrian,Male,31-50,3,Student,Normal,Unknown or other,Human Error,Malam
1900-01-01 14:00:00,Friday,31-50,Male,Primary education,Employee,2-5yr,Medium Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Violation,Siang
1900-01-01 12:00:00,Wednesday,Over 51,Male,Secondary education,Owner,1-2yr,Car,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 10:16:00,Friday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Rainy,Collision with roadside objects,1,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 12:34:00,Thursday,31-50,Male,Primary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,One way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 16:45:00,Wednesday,31-50,Male,Secondary education,Other,No Licence,Large Truck,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 18:05:00,Wednesday,18-30,Male,Secondary education,Employee,1-2yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 20:00:00,Tuesday,18-30,Male,Secondary education,Employee,5-10yr,Small Truck,Governmental,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Other,Pedestrian,Female,18-30,3,Self-employed,Normal,Crossing from driver's nearside,Human Error,Malam
1900-01-01 08:30:00,Thursday,31-50,Male,Primary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 22:05:00,Friday,18-30,Male,Secondary education,Employee,5-10yr,Small Truck,Owner,Moderate Vehicle,Recreational areas,other,Steep Road,Y Shape,Asphalt,Wet or damp,Moderate lighting,Rainy,Vehicle with vehicle collision,2,3,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 20:57:00,Tuesday,Over 51,Male,Primary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Recreational areas,One way,Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,4,Stopping,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 19:30:00,Sunday,31-50,Male,Secondary education,Owner,Below 1yr,Car,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 07:59:00,Thursday,31-50,Male,Secondary education,Owner,2-5yr,Large Truck,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Clear,Collision with roadside objects,4,1,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 17:28:00,Thursday,31-50,Male,Secondary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,One way,Flat Road,Other,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 07:21:00,Wednesday,31-50,Male,Secondary education,Employee,2-5yr,Car,Owner,Old Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Pedestrian,Female,Over 51,3,Driver,Normal,Not a Pedestrian,External Factors,Pagi
1900-01-01 00:09:00,Monday,31-50,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Public service areas,other,Flat Road,Y Shape,Asphalt,Wet or damp,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,External Factors,Malam
1900-01-01 16:09:00,Monday,18-30,Male,Secondary education,Employee,1-2yr,Small Bus,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,1,1,Junction movement,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 08:28:00,Wednesday,18-30,Male,Secondary education,Employee,2-5yr,Large Bus,Owner,Moderate Vehicle,Other,other,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,1,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 13:15:00,Monday,Under 18,Male,Secondary education,Employee,5-10yr,Large Bus,Owner,New Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Other,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Stopping,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 12:15:00,Monday,31-50,Male,Secondary education,Owner,Above 10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 08:40:00,Friday,Over 51,Male,Secondary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 05:55:00,Thursday,Over 51,Male,Secondary education,Employee,5-10yr,Large Truck,Governmental,Moderate Vehicle,Public service areas,Double carriageway (median),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Rollover,2,2,Moving backward,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,Human Error,Pagi
1900-01-01 06:07:00,Thursday,18-30,Male,Secondary education,Employee,5-10yr,Small Truck,Owner,Moderate Vehicle,Recreational areas,other,Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 21:33:00,Saturday,18-30,Male,Primary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,No junction,Earth roads,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 13:41:00,Tuesday,18-30,Female,Secondary education,Employee,Above 10yr,Small Bus,Governmental,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,4,2,Other,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Violation,Siang
1900-01-01 09:51:00,Thursday,Over 51,Male,Secondary education,Employee,5-10yr,Small Truck,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 14:00:00,Sunday,31-50,Male,Secondary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Unknown,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,2,Moving forward,Pedestrian,Female,Over 51,2,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 09:30:00,Saturday,31-50,Male,Secondary education,Employee,Above 10yr,Large Truck,Owner,New Vehicle,Commercial areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Clear,Collision with roadside objects,3,6,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 12:00:00,Saturday,18-30,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Crossing,Asphalt,Snow,Good lighting,Snowy,Vehicle with vehicle collision,3,2,Moving forward,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 07:15:00,Tuesday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,other,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 18:40:00,Friday,31-50,Male,Secondary education,Employee,Below 1yr,Large Truck,Owner,Moderate Vehicle,Recreational areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Rollover,2,4,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 19:28:00,Wednesday,18-30,Male,Secondary education,Owner,Above 10yr,Car,Owner,New Vehicle,Other,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Moving forward,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 20:00:00,Friday,18-30,Female,Secondary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,3,Moving backward,Passenger,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 18:07:00,Tuesday,18-30,Male,Secondary education,Employee,1-2yr,Small Truck,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 18:30:00,Saturday,18-30,Male,Secondary education,Employee,Below 1yr,Car,Owner,New Vehicle,Residential areas,Undivided Two way,Curved Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,External Factors,Sore
1900-01-01 14:40:00,Saturday,31-50,Male,Secondary education,Owner,2-5yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Vehicle Issues,Siang
1900-01-01 19:30:00,Saturday,18-30,Male,Secondary education,Employee,Below 1yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 15:00:00,Monday,18-30,Female,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Fall from vehicles,1,1,Other,Driver or rider,Male,18-30,na,Employee,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 11:45:00,Wednesday,Over 51,Male,Higher education,Employee,1-2yr,Medium Truck,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Rainy,Collision with roadside objects,1,1,Other,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 12:00:00,Saturday,18-30,Male,Secondary education,Employee,1-2yr,Small Bus,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,Other,Other,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Pedestrian,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 07:41:00,Wednesday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,Unknown,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,2,Turnover,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Violation,Pagi
1900-01-01 13:10:00,Saturday,18-30,Female,Primary education,Employee,2-5yr,Car,Governmental,Moderate Vehicle,Other,One way,Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,3,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 10:36:00,Friday,31-50,Male,Secondary education,Employee,1-2yr,Large Truck,Owner,Moderate Vehicle,Recreational areas,Undivided Two way,Steep Road,Crossing,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Pedestrian,Female,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 16:30:00,Thursday,Over 51,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Public service areas,Two-way (divided with solid lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
