Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Day
18:00:00,Unknown,Male,Employee,5-10yr,Public Transport,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving backward,3,Unsafe Lane Change,Serious Injury,Friday
18:00:00,31-50,Male,Owner,2-5yr,Private Vehicle,Owner,Other,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Exiting,na,Unsafe Lane Change,Serious Injury,Friday
16:00:00,31-50,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,No Distance,Slight Injury,Friday
13:00:00,18-30,Male,Employee,5-10yr,Private Vehicle,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury,Saturday
13:00:00,31-50,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Turning,na,Priority Violation,Slight Injury,Saturday
20:00:00,Unknown,Male,Employee,1-2yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving backward,3,Moving Backward,Slight Injury,Saturday
20:00:00,31-50,Male,Owner,5-10yr,Public Transport,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury,Saturday
18:00:00,31-50,Male,Employee,1-2yr,Private Vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,2,Moving backward,3,Moving Backward,Slight Injury,Monday
18:00:00,18-30,Male,Employee,Above 10yr,Private Vehicle,Organization, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,na,Unsafe Lane Change,Slight Injury,Monday
18:00:00,18-30,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Speeding,Slight Injury,Monday
15:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Pedestrian Collision,2,1,Moving forward,3,DUI (Drugs/Alcohol),Serious Injury,Monday
15:00:00,Under 18,Male,Employee,5-10yr,Private Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Pedestrian Collision,2,1,Moving forward,3,Driving carelessly,Serious Injury,Monday
12:00:00,Over 51,Male,Employee,5-10yr,Private Vehicle,Owner, Industrial areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,4,Moving forward,na,No Distance,Slight Injury,Sunday
12:00:00,31-50,Male,Owner,1-2yr,Private Vehicle,Owner, Industrial areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,4,Moving forward,3,Priority Violation,Slight Injury,Sunday
12:00:00,18-30,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,4,Moving forward,3,Speeding,Slight Injury,Sunday
12:00:00,18-30,Male,Other,5-10yr,Private Vehicle,Organization, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,4,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury,Sunday
16:00:00,18-30,Male,Employee,2-5yr,Public Transport,Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Sunday
16:00:00,Over 51,Male,Employee,1-2yr,Private Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
16:00:00,18-30,Male,Employee,5-10yr,Private Vehicle,Organization, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Friday
16:00:00,Over 51,Male,Employee,2-5yr,Private Vehicle,Owner,Office areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Unsafe Lane Change,Slight Injury,Friday
12:00:00,31-50,Male,Employee,No Licence,Other,Owner,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Moving Backward,Slight Injury,Saturday
12:00:00,18-30,Male,Employee,Above 10yr,Private Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Saturday
21:00:00,31-50,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Speeding,Serious Injury,Saturday
21:00:00,31-50,Male,Employee,5-10yr,Public Transport,Owner,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Exiting,na,No Distance,Serious Injury,Saturday
21:00:00,Over 51,Male,Employee,2-5yr,Other,Owner,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,na,Driving carelessly,Serious Injury,Saturday
07:00:00,31-50,Male,Owner,2-5yr,Public Transport,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,No Distance,Slight Injury,Friday
07:00:00,18-30,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,2,No Distance,Slight Injury,Friday
21:00:00,18-30,Male,Owner,Above 10yr,Private Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,No Distance,Slight Injury,Monday
21:00:00,31-50,Male,Employee,Above 10yr,Public Transport,Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Monday
22:00:00,18-30,Male,Employee,2-5yr,Commercial Vehicle,Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Exiting,3,No Distance,Slight Injury,Thursday
22:00:00,18-30,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Priority Violation,Slight Injury,Thursday
17:00:00,31-50,Male,Employee,Above 10yr,Commercial Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Tuesday
17:00:00,Over 51,Male,Employee,5-10yr,Private Vehicle,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,na,Moving Backward,Slight Injury,Tuesday
14:00:00,18-30,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,3,Driving carelessly,Slight Injury,Friday
14:00:00,18-30,Male,Employee,Below 1yr,Private Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,na,Unsafe Lane Change,Slight Injury,Friday
14:00:00,31-50,Male,Employee,Below 1yr,Private Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Priority Violation,Slight Injury,Friday
18:00:00,18-30,Male,Employee,5-10yr,Other,Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,na,No Distance,Slight Injury,Saturday
18:00:00,31-50,Male,Owner,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,No Distance,Slight Injury,Saturday
13:00:00,31-50,Male,Owner,5-10yr,Public Transport,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,1,1,Moving backward,na,Reckless Driving,Slight Injury,Sunday
13:00:00,18-30,Male,Employee,5-10yr,Private Vehicle,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Other,3,No Distance,Slight Injury,Saturday
13:00:00,31-50,Male,Employee,2-5yr,Commercial Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury,Saturday
15:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury,Wednesday
15:00:00,31-50,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Priority Violation,Slight Injury,Wednesday
13:00:00,Over 51,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Saturday
13:00:00,Over 51,Male,Employee,2-5yr,Commercial Vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Saturday
19:00:00,Unknown,Female,Employee,2-5yr,Private Vehicle,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Improper Parking/Exit,Slight Injury,Monday
19:00:00,31-50,Male,Employee,2-5yr,Public Transport,Governmental, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Monday
16:00:00,Under 18,Male,Employee,5-10yr,Other,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
16:00:00,18-30,Male,Employee,5-10yr,Private Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
08:00:00,31-50,Male,Employee,5-10yr,Private Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle Collision,1,1,Moving backward,na,Moving Backward,Slight Injury,Friday
14:00:00,31-50,Male,Owner,5-10yr,Private Vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Speeding,Serious Injury,Monday
14:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,na,Unsafe Lane Change,Serious Injury,Monday
19:00:00,Unknown,Male,Employee,Below 1yr,Public Transport,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Stationary Object Collision,2,1,Other,2,Unsafe Lane Change,Slight Injury,Monday
19:00:00,Over 51,Male,Employee,1-2yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Other,na,No Distance,Slight Injury,Monday
13:00:00,18-30,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Monday
13:00:00,31-50,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,2,Unsafe Lane Change,Slight Injury,Monday
11:00:00,Over 51,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,na,No Distance,Slight Injury,Sunday
11:00:00,Over 51,Male,Employee,2-5yr,Other,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Unsafe Lane Change,Slight Injury,Sunday
17:00:00,31-50,Male,Employee,1-2yr,Private Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Driving carelessly,Slight Injury,Saturday
15:00:00,Under 18,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving backward,na,Driving carelessly,Slight Injury,Thursday
15:00:00,31-50,Male,Owner,Below 1yr,Private Vehicle,Owner,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,3,2,Other,3,Unsafe Lane Change,Slight Injury,Thursday
15:00:00,18-30,Male,Employee,Below 1yr,Private Vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Turning,3,Reckless Driving,Slight Injury,Thursday
18:00:00,Over 51,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Wednesday
18:00:00,18-30,Male,Employee,1-2yr,Private Vehicle,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Moving Backward,Slight Injury,Wednesday
18:00:00,Over 51,Male,Owner,5-10yr,Private Vehicle,Governmental,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,No Distance,Slight Injury,Wednesday
18:00:00,18-30,Male,Employee,2-5yr,Commercial Vehicle,Owner,Office areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,3,Reckless Driving,Slight Injury,Wednesday
18:00:00,31-50,Male,Owner,Below 1yr,Public Transport,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Driving carelessly,Slight Injury,Wednesday
08:00:00,18-30,Male,Employee,5-10yr,Private Vehicle,Owner, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Friday
08:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,na,Speeding,Slight Injury,Friday
13:00:00,Over 51,Male,Employee,5-10yr,Private Vehicle,Owner,  Recreational areas,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Monday
16:00:00,Unknown,Male,Employee,2-5yr,Public Transport,Owner,  Market areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Driving carelessly,Slight Injury,Wednesday
16:00:00,18-30,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,na,No Distance,Slight Injury,Wednesday
11:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Moving Backward,Slight Injury,Thursday
11:00:00,18-30,Male,Employee,Above 10yr,Commercial Vehicle,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Priority Violation,Slight Injury,Thursday
11:00:00,18-30,Male,Employee,2-5yr,Other,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Moving Backward,Slight Injury,Wednesday
11:00:00,18-30,Male,Employee,Below 1yr,Private Vehicle,Governmental,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Wednesday
17:00:00,18-30,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Stationary Object Collision,2,1,Moving backward,3,No Distance,Slight Injury,Friday
17:00:00,31-50,Male,Owner,5-10yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Stationary Object Collision,2,1,Other,3,DUI (Drugs/Alcohol),Slight Injury,Friday
06:00:00,31-50,Male,Employee,2-5yr,Commercial Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,3,Unsafe Lane Change,Slight Injury,Monday
06:00:00,Under 18,Male,Employee,Below 1yr,Private Vehicle,Organization,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,3,Moving backward,3,Driving carelessly,Slight Injury,Monday
06:00:00,Under 18,Male,Employee,2-5yr,Public Transport,Governmental,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,3,Unsafe Lane Change,Slight Injury,Monday
11:00:00,31-50,Male,Employee,5-10yr,Public Transport,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Other,na,Unsafe Lane Change,Serious Injury,Friday
11:00:00,31-50,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Other,3,Unsafe Lane Change,Serious Injury,Friday
11:00:00,Unknown,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Other,3,Driving carelessly,Serious Injury,Friday
01:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Stopping,3,Unsafe Lane Change,Slight Injury,Sunday
01:00:00,Over 51,Male,Employee,1-2yr,Commercial Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Other,na,Priority Violation,Slight Injury,Sunday
15:00:00,Unknown,Female,Employee,5-10yr,Special Vehicle,Owner, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Other,3,Driving carelessly,Slight Injury,Wednesday
15:00:00,Under 18,Unknown,Employee,5-10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Unsafe Lane Change,Slight Injury,Wednesday
13:00:00,31-50,Male,Employee,1-2yr,Commercial Vehicle,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Driving carelessly,Slight Injury,Monday
14:00:00,Unknown,Male,Owner,5-10yr,Public Transport,Owner,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury,Monday
14:00:00,31-50,Male,Owner,Above 10yr,Private Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,No Distance,Slight Injury,Monday
17:00:00,Unknown,Male,Owner,Below 1yr,Private Vehicle,Owner,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury,Monday
17:00:00,31-50,Male,Owner,5-10yr,Commercial Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Priority Violation,Slight Injury,Monday
15:00:00,31-50,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,na,Moving Backward,Slight Injury,Tuesday
15:00:00,Over 51,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Moving Backward,Slight Injury,Tuesday
12:00:00,Under 18,Male,Employee,1-2yr,Private Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,na,No Distance,Slight Injury,Saturday
12:00:00,Under 18,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury,Saturday
12:00:00,31-50,Male,Owner,Above 10yr,Private Vehicle,Owner, Church areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Other,2,2,Moving forward,na,Unsafe Lane Change,Slight Injury,Saturday
17:00:00,Under 18,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Moving forward,na,Moving Backward,Slight Injury,Saturday
17:00:00,31-50,Male,Employee,No Licence,Public Transport,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Stationary Object Collision,2,2,Moving backward,3,Driving carelessly,Slight Injury,Saturday
17:00:00,31-50,Male,Employee,1-2yr,Public Transport,Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Moving forward,na,DUI (Drugs/Alcohol),Slight Injury,Saturday
07:00:00,18-30,Male,Owner,1-2yr,Commercial Vehicle,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,na,No Distance,Slight Injury,Friday
07:00:00,18-30,Male,Owner,Below 1yr,Commercial Vehicle,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Friday
13:00:00,18-30,Male,Owner,1-2yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,3,Exiting,3,Priority Violation,Slight Injury,Sunday
13:00:00,18-30,Male,Owner,2-5yr,Private Vehicle,Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,3,Moving forward,na,Unsafe Lane Change,Slight Injury,Sunday
