Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
1:30:00,Sunday,Remaja,Male,High school,Owner,Below 1yr,Other,Owner,Unknown,,,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Going straight,Female,18-30,3,Normal,Not a Pedestrian,No Distance,Serious Injury
1:30:00,Sunday,Remaja,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,Below 1yr,,Office areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,4,Going straight,Male,18-30,3,Normal,Not a Pedestrian,No Distance,Serious Injury
1:30:00,Sunday,Dewasa,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Moving Backward,Male,Under 18,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
19:32:00,Friday,Dewasa,Male,Junior high school,Employee,Below 1yr,Public Transport,Owner,,,Other,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
8:05:00,Friday,Unknwon,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Governmental,Unknown,,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Other,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
8:05:00,Friday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Male,Over 51,3,Normal,Not a Pedestrian,DUI (Drugs/Alcohol),Slight Injury
8:05:00,Friday,Dewasa,Unknown,Junior high school,Owner,Above 10yr,Commercial Vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18:43:00,Wednesday,Dewasa,Male,Junior high school,Employee,5-10yr,Special Vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
20:35:00,Sunday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Governmental,,No defect,Office areas,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury
20:35:00,Sunday,Unknwon,Female,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,2-5yrs,, Church areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,Male,Under 18,3,Normal,Not a Pedestrian,No Distance,Slight Injury
8:06:00,Tuesday,Dewasa,Male,Junior high school,Employee,1-2yr,Public Transport,Governmental,,,Office areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Moving Backward,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
8:14:00,Wednesday,Dewasa,Male,High school,Employee,2-5yr,Private Vehicle,Governmental,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
8:14:00,Wednesday,Dewasa,Male,High school,Owner,Above 10yr,Private Vehicle,Owner,,,School areas,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
14:44:00,Friday,Dewasa,Male,Elementary school,Employee,2-5yr,Private Vehicle,Owner,Unknown,,Office areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Female,Under 18,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
14:44:00,Friday,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,5-10yrs,,Other,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,,Male,31-50,3,Normal,Not a Pedestrian,No Distance,Slight Injury
14:44:00,Friday,Dewasa,Male,High school,Employee,2-5yr,Commercial Vehicle,Owner,,,Other,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Daylight,Other,Collision with roadside objects,2,2,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
16:20:00,Friday,Dewasa,Male,Junior high school,Other,No Licence,Commercial Vehicle,Governmental,,No defect,Other,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Moving Backward,Slight Injury
20:30:00,Friday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,2,Going straight,Female,Over 51,3,Normal,Not a Pedestrian,No Distance,Slight Injury
20:30:00,Friday,Dewasa,Male,Junior high school,Owner,5-10yr,Commercial Vehicle,Owner,Unknown,No defect,Office areas,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,2,Going straight,Female,Under 18,3,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Priority Violation,Slight Injury
20:30:00,Friday,Unknwon,Male,Junior high school,Employee,1-2yr,Special Vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,2,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
12:15:00,Saturday,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
12:15:00,Saturday,Unknwon,Female,Junior high school,Employee,1-2yr,Private Vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,Under 18,3,unknown,Not a Pedestrian,Driving carelessly,Slight Injury
17:30:00,Sunday,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,,,Office areas,One way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
17:30:00,Sunday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
20:20:00,Monday,Dewasa,Male,High school,Employee,1-2yr,Other,Owner,5-10yrs,No defect,Office areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Moving Backward,Slight Injury
20:20:00,Monday,Dewasa,Male,Junior high school,Employee,1-2yr,Other,Owner,,No defect,  Recreational areas,other,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
18:05:00,Monday,Unknwon,Male,Elementary school,Employee,Above 10yr,Private Vehicle,Governmental,,No defect,Office areas,other,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury
15:45:00,Monday,Unknwon,Male,Junior high school,Employee,Above 10yr,Other,Owner,5-10yrs,No defect, Industrial areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
8:20:00,Monday,Dewasa,Male,Elementary school,Employee,Above 10yr,Private Vehicle,,,,,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Rollover,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
8:20:00,Monday,Remaja,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,,No defect,Residential areas,Undivided Two way,Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,unknown,unknown,unknown,Normal,Not a Pedestrian,DUI (Drugs/Alcohol),Slight Injury
11:55:00,Wednesday,Unknwon,Female,Junior high school,Employee,1-2yr,Commercial Vehicle,Governmental,Above 10yr,No defect,Residential areas,other,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Moving Backward,Slight Injury
11:55:00,Wednesday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,1-2yr,No defect, Industrial areas,other,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
12:51:00,Wednesday,Dewasa,Male,High school,Owner,2-5yr,Private Vehicle,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
12:51:00,Wednesday,Lansia,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,Unknown,No defect,Residential areas,other,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,No Distance,Slight Injury
12:51:00,Wednesday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect,Office areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Moving Backward,Slight Injury
20:00:00,Friday,Unknwon,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Female,18-30,3,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No Distance,Slight Injury
20:12:00,Friday,Unknwon,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,Above 10yr,No defect,Office areas,other,Straight,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Female,Over 51,3,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Driving carelessly,Slight Injury
19:38:00,Wednesday,Dewasa,Male,High school,Employee,Above 10yr,Public Transport,Owner,1-2yr,No defect,Office areas,Undivided Two way,,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Female,18-30,3,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Priority Violation,Slight Injury
19:38:00,Wednesday,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect,Office areas,One way,Straight,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
8:14:00,Monday,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,,No defect,Office areas,Undivided Two way,Straight,Other,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Collision with roadside objects,2,1,Going straight,Female,18-30,3,Normal,Not a Pedestrian,Moving Backward,Slight Injury
8:14:00,Monday,Lansia,Male,Writing & reading,Employee,2-5yr,Other,Owner,,No defect,Office areas,other,Straight,Other,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Collision with roadside objects,2,1,Going straight,Male,18-30,2,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
13:45:00,Thursday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,Above 10yr,No defect,Residential areas,other,Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Serious Injury
13:45:00,Thursday,Dewasa,Male,High school,Employee,2-5yr,Private Vehicle,Owner,5-10yrs,No defect,Residential areas,One way,Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Other,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
17:45:00,Tuesday,Unknwon,Female,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,,No defect,Other,One way,Straight,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
14:13:00,Wednesday,Unknwon,Male,High school,Employee,5-10yr,Commercial Vehicle,Owner,5-10yrs,No defect, Church areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Moving Backward,Slight Injury
14:13:00,Wednesday,Dewasa,Male,Elementary school,Employee,2-5yr,Other,Owner,,No defect,  Recreational areas,other,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,No Distance,Slight Injury
17:00:00,Wednesday,Unknwon,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,,, Industrial areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Female,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
17:00:00,Wednesday,Dewasa,Male,Elementary school,Employee,1-2yr,Private Vehicle,,,,Residential areas,other,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Female,Over 51,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury
17:40:00,Friday,Dewasa,Male,High school,Employee,No Licence,Public Transport,Owner,Above 10yr,No defect,Residential areas,other,Straight,Other,Asphalt roads,Wet or damp,Darkness - lights unlit,Raining,Rollover,1,1,Going straight,Female,18-30,3,Normal,Not a Pedestrian,Improper Parking/Exit,Slight Injury
23:00:00,Saturday,Dewasa,Male,Junior high school,Owner,5-10yr,Commercial Vehicle,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Straight,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,2,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Serious Injury
23:00:00,Saturday,Dewasa,Male,Junior high school,Employee,1-2yr,Other,Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,2,Other,Male,31-50,3,Normal,Not a Pedestrian,No Distance,Serious Injury
19:35:00,Thursday,Lansia,Male,Junior high school,Employee,2-5yr,Private Vehicle,,,,Unknown,other,Straight,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Male,31-50,3,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Unsafe Lane Change,Slight Injury
19:35:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,Public Transport,Owner,,No defect, Industrial areas,other,Straight,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Female,18-30,3,Normal,Unknown or other,Priority Violation,Slight Injury
19:35:00,Thursday,Dewasa,Male,,,,Private Vehicle,Owner,,No defect,Residential areas,Two-way (divided with solid lines road marking),Straight,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
19:57:00,Tuesday,Dewasa,Male,,,,Private Vehicle,Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
12:37:00,Tuesday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,5-10yrs,No defect,Other,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
12:37:00,Tuesday,Lansia,Male,Junior high school,Employee,Above 10yr,Other,Governmental,,No defect,Residential areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Male,Over 51,3,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
8:30:00,Tuesday,Lansia,Male,Junior high school,Owner,Above 10yr,Public Transport,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Curved,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,No Distance,Slight Injury
8:30:00,Tuesday,Unknwon,Male,,,,Other,Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Curved,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,DUI (Drugs/Alcohol),Slight Injury
10:45:00,Friday,Lansia,Male,Elementary school,Owner,Above 10yr,Other,Owner,,No defect,Office areas,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
10:45:00,Friday,Dewasa,Male,,,,Non-Motorized,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Curved,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,unknown,unknown,unknown,unknown,Not a Pedestrian,Improper Parking/Exit,Slight Injury
21:00:00,Monday,Dewasa,Male,Junior high school,Owner,5-10yr,Commercial Vehicle,Owner,,,Residential areas,other,Straight,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Female,18-30,3,Normal,Not a Pedestrian,Overloading,Slight Injury
0:35:00,Friday,Dewasa,Male,Junior high school,Owner,Above 10yr,Commercial Vehicle,Owner,,7, Outside rural areas,other,Straight,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Driving carelessly,Slight Injury
9:09:00,Wednesday,Dewasa,Male,High school,Owner,Above 10yr,Commercial Vehicle,Owner,Above 10yr,,Residential areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,2,Going straight,Female,Over 51,3,unknown,Not a Pedestrian,Speeding,Slight Injury
9:09:00,Wednesday,Dewasa,Male,,,,Commercial Vehicle,Owner,5-10yrs,5, Church areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,No Distance,Slight Injury
9:09:00,Wednesday,Dewasa,Male,Elementary school,Employee,5-10yr,Private Vehicle,Owner,,No defect,Office areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,4,2,Moving Backward,Female,31-50,3,Normal,Not a Pedestrian,Reckless Driving,Slight Injury
9:09:00,Wednesday,Dewasa,Male,Elementary school,Owner,Above 10yr,Private Vehicle,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
8:24:00,Wednesday,Dewasa,Male,Junior high school,Owner,Below 1yr,Commercial Vehicle,Governmental,,No defect,Office areas,Two-way (divided with broken lines road marking),,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Other,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
8:24:00,Wednesday,Dewasa,Male,Junior high school,Owner,2-5yr,Private Vehicle,Owner,2-5yrs,,Other,Undivided Two way,,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Other,Male,Under 18,2,Normal,Not a Pedestrian,No Distance,Slight Injury
12:07:00,Wednesday,Dewasa,Male,Junior high school,Owner,2-5yr,Other,Owner,2-5yrs,,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Female,18-30,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury
12:07:00,Wednesday,Dewasa,Male,High school,Owner,5-10yr,Commercial Vehicle,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,Improper Parking/Exit,Slight Injury
0:54:00,Friday,Dewasa,Male,Junior high school,Owner,,Public Transport,Owner,,,Other,Two-way (divided with broken lines road marking),Straight,Crossing,,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,Female,31-50,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury
0:54:00,Friday,Dewasa,Male,,Owner,Below 1yr,Commercial Vehicle,Owner,Below 1yr,,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Rollover,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
8:24:00,Saturday,Dewasa,Male,Elementary school,Owner,Above 10yr,Private Vehicle,Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,unknown,unknown,unknown,Normal,Not a Pedestrian,Moving Backward,Slight Injury
8:24:00,Saturday,Dewasa,Male,Elementary school,Owner,Below 1yr,Other,Governmental,5-10yrs,No defect,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
16:54:00,Monday,Unknwon,Female,Junior high school,Owner,5-10yr,Commercial Vehicle,Owner,2-5yrs,No defect,Other,Double carriageway (median),Straight,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Male,Over 51,3,Normal,Not a Pedestrian,No Distance,Slight Injury
16:54:00,Monday,Dewasa,Male,Junior high school,Owner,5-10yr,Public Transport,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
14:45:00,Sunday,Unknwon,Male,,Owner,,Public Transport,Owner,2-5yrs,, Church areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,DUI (Drugs/Alcohol),Slight Injury
14:45:00,Sunday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,5-10yrs,,Other,Undivided Two way,Straight,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Fall from vehicles,2,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
15:38:00,Wednesday,Dewasa,Male,High school,Owner,5-10yr,Commercial Vehicle,Organization,2-5yrs,, Industrial areas,Two-way (divided with broken lines road marking),Straight,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
15:38:00,Wednesday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect,Residential areas,Double carriageway (median),Straight,Other,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
8:00:00,Wednesday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
8:00:00,Wednesday,Lansia,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,2,1,Moving Backward,Male,31-50,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
11:31:00,Monday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,,No defect, Industrial areas,Unknown,Straight,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
11:31:00,Monday,Dewasa,Male,Junior high school,Employee,5-10yr,Other,Owner,1-2yr,No defect, Industrial areas,Double carriageway (median),Straight,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Other,Male,31-50,2,Normal,Not a Pedestrian,No Distance,Slight Injury
